number,group,zero_based_index,name_from_exe,vmt_or_probe_va,baseline_status,current_status,implementation_stage,classes,file_types
1,archive,0,Git Object,00734548,missing,verified_subset,integrated_verified_subset,XGitObjectArchive,FT_GIT_OBJECT
2,archive,1,CPIO,004bee48,verified_subset,verified_subset,baseline_inventory,XCPIO,FT_CPIO
3,archive,2,RPM,004c0218,implemented_unverified,implemented_unverified,baseline_inventory,XRPM,FT_RPM
4,archive,3,AODOS,005aea78,implemented_unverified,implemented_unverified,baseline_inventory,XAODOS,FT_AODOS
5,archive,4,DMG,0049e298,partial,partial,baseline_inventory,XDMG,FT_DMG
6,archive,5,DiskJuggler,0049f1c0,partial,partial,baseline_inventory,XDiskJugglerArchive,FT_DISKJUGGLER_CDI
7,archive,6,Raw Image,0049bc68,missing,missing,baseline_inventory,,
8,archive,7,ISO,0045f878,partial,partial,baseline_inventory,XISO9660,FT_ISO9660
9,archive,8,DCP,004c2458,missing,missing,baseline_inventory,,
10,archive,9,SOS,00428fa8,missing,missing,baseline_inventory,,
11,archive,10,ADF,00428298,partial,verified_subset,direct_u3_observed_port_2026_09_05,XADFArchive,FT_AMIGA_ADF
12,archive,11,VHD Fixed,0049bdb0,partial,verified_subset,integrated_verified_subset,XVirtualDiskArchive;XNTFSArchive,FT_VHD
13,archive,12,VHD Dynamic,0049bef8,partial,verified_subset,integrated_verified_subset,XVirtualDiskArchive;XNTFSArchive,FT_VHD
14,archive,13,VMDK,0049c188,missing,missing,baseline_inventory,,
15,archive,14,Cloop,0049c2c8,missing,missing,baseline_inventory,,
16,archive,15,BZIP1,004c3a78,implemented_unverified,implemented_unverified,baseline_inventory,XBZIP1,FT_BZIP1
17,archive,16,TAR+BZIP2,005afa88,verified_subset,verified_subset,baseline_inventory,XTAR_BZIP2,FT_TAR_BZIP2
18,archive,17,BZIP2,00433038,verified_subset,verified_subset,baseline_inventory,XBZIP2,FT_BZIP2
19,archive,18,SZDD,004c42b8,implemented_unverified,implemented_unverified,baseline_inventory,XSZDD,FT_SZDD
20,archive,19,SZ,004c4da8,missing,missing,baseline_inventory,,
21,archive,20,TAR+GZIP,0045f288,verified_subset,verified_subset,baseline_inventory,XTAR_GZ,FT_TAR_GZ
22,archive,21,GZIP,0045e838,verified_subset,verified_subset,baseline_inventory,XGzip,FT_GZIP
23,archive,22,Z,004c60e8,verified_subset,verified_subset,baseline_inventory,XCompressZ,FT_COMPRESS
24,archive,23,IS11,004c65d8,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
25,archive,24,IS13,004c6b68,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
26,archive,25,IS3,004c70c8,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_INSTALLSHIELD3_ARCHIVE
27,archive,26,IS3 INST,004c7e98,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
28,archive,27,IS7 BOOT,004c8458,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_INSTALLSHIELD_BOOT
29,archive,28,IS7 INX,004c89f8,missing,missing,baseline_inventory,,
30,archive,29,IS ISN,004c8e28,missing,missing,baseline_inventory,,
31,archive,30,MATLAB5,004e3300,missing,missing,baseline_inventory,,
32,archive,31,MATLAB6,004e3440,missing,missing,baseline_inventory,,
33,archive,32,MATLAB7,004e3580,missing,missing,baseline_inventory,,
34,archive,33,SCO,004e5268,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
35,archive,34,LZX,004e56c8,implemented_unverified,implemented_unverified,baseline_inventory,XLZXArchive,FT_AMIGA_LZX
36,archive,35,ARC,004e97f8,verified_subset,verified_subset,integrated_verified_subset,XSEAARC;XArcDecoder;XPakDecoder,FT_ARC
37,archive,36,ZOO,004ea308,implemented_unverified,implemented_unverified,baseline_inventory,XZOO,FT_ZOO
38,archive,37,BinHex,004eb228,partial,partial,baseline_inventory,XLegacyEncoded,FT_BINHEX
39,archive,38,MacBinary,004ebdf8,implemented_unverified,implemented_unverified,baseline_inventory,XMacBinary,FT_MACBINARY
40,archive,39,RAR,004b58c8,partial,verified_subset,direct_u3_observed_port_2026_09_05,XRar,FT_RAR
41,archive,40,EDILZSS,004ec758,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
42,archive,41,ARCV,004ede08,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_ARCV
43,archive,42,ARCV2,004ee5b8,implemented_unverified,implemented_unverified,baseline_inventory,XARCV2,FT_ARCV2
44,archive,43,MAR,004ef038,missing,missing,baseline_inventory,,
45,archive,44,KWAJ,004f0728,implemented_unverified,implemented_unverified,baseline_inventory,XKWAJ,FT_KWAJ
46,archive,45,NetWare1,004f1ca8,missing,missing,baseline_inventory,,
47,archive,46,NetWare2,004f2088,missing,missing,baseline_inventory,,
48,archive,47,LBR,004f2708,implemented_unverified,implemented_unverified,baseline_inventory,XLBR,FT_CPM_LBR
49,archive,48,Squeeze1,004f2dd8,partial,partial,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
50,archive,49,Squeeze2,004f3348,partial,partial,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
51,archive,50,Crunch,004f4378,verified_subset,verified_subset,baseline_inventory,XCpmCompressedArchive,FT_CPM_CRUNCH
52,archive,51,CPMLZH,004f4968,verified_subset,verified_subset,baseline_inventory,XCpmCompressedArchive,FT_CPM_LZH
53,archive,52,LHA,004f6368,implemented_unverified,implemented_unverified,baseline_inventory,XLHA,FT_LHA
54,archive,53,CRLF,0054a528,missing,missing,baseline_inventory,,
55,archive,54,ARJ,004f90f8,partial,partial,baseline_inventory,XARJ,FT_ARJ
56,archive,55,ZIP PSC,0072b398,missing,missing,baseline_inventory,,
57,archive,56,ZIP,004dfd08,partial,partial,baseline_inventory,XZip,FT_ZIP
58,archive,57,Freeze2,004fa228,verified_subset,verified_subset,baseline_inventory,XAncient,FT_FREEZE
59,archive,58,BH,004fb758,missing,missing,baseline_inventory,,
60,archive,59,ACE,00500498,implemented_unverified,verified_subset,direct_u3_observed_port_2026_09_05,XACE,FT_ACE
61,archive,60,SPIS,00501c48,implemented_unverified,implemented_unverified,baseline_inventory,XSPIS,FT_SPIS
62,archive,61,Oberon,0050feb8,missing,missing,baseline_inventory,,
63,archive,62,HDCopy,0049dc40,missing,missing,baseline_inventory,,
64,archive,63,HUFF,005103d8,missing,missing,baseline_inventory,,
65,archive,64,DH,00510d48,missing,missing,baseline_inventory,,
66,archive,65,PCInstall,005113e8,implemented_unverified,implemented_unverified,baseline_inventory,XPCInstall,FT_PCINSTALL
67,archive,66,Instalit,00511a78,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_INSTALIT_DATA
68,archive,67,PP20,00512478,verified_subset,verified_subset,baseline_inventory,XAncient,FT_PP20
69,archive,68,Quantum,005143f8,missing,missing,baseline_inventory,,
70,archive,69,ISCF,00683728,missing,missing,baseline_inventory,,
71,archive,70,CAB,004cb058,implemented_unverified,implemented_unverified,baseline_inventory,XCab,FT_CAB
72,archive,71,LSZ,005150b8,missing,missing,baseline_inventory,,
73,archive,72,BWF,005156a8,missing,missing,baseline_inventory,,
74,archive,73,Solitaire Deluxe,00515c38,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_SOLITAIRE_DELUXE
75,archive,74,CAZIP,00516628,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
76,archive,75,CAZIPXP,005173e8,missing,missing,baseline_inventory,,
77,archive,76,MDCD,00518018,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
78,archive,77,TAR,00457368,verified_subset,verified_subset,baseline_inventory,XTAR,FT_TAR
79,archive,78,TAR NextStep,004ba628,missing,missing,baseline_inventory,,
80,archive,79,DEB,004be7e8,verified_subset,verified_subset,baseline_inventory,XDEB,FT_DEB
81,archive,80,ALZ,004c18e8,missing,verified_subset,integrated_verified_subset,XAlzArchive,FT_ALZ
82,archive,81,HA,004bdde8,missing,missing,baseline_inventory,,
83,archive,82,IMP,004a4fc8,missing,missing,baseline_inventory,,
84,archive,83,RDC,00518788,missing,missing,baseline_inventory,,
85,archive,84,SAR,00518ad8,partial,partial,baseline_inventory,XSAR,FT_SAR
86,archive,85,ATS,00518d18,missing,missing,baseline_inventory,,
87,archive,86,NPACK,00519838,missing,missing,baseline_inventory,,
88,archive,87,IrwinPac,00519c18,missing,missing,baseline_inventory,,
89,archive,88,PAKLEO,0051a2b8,missing,missing,baseline_inventory,,
90,archive,89,DMS,0051b9a8,verified_subset,verified_subset,baseline_inventory,XAncient,FT_DMS
91,archive,90,FINEAR,0051c828,missing,missing,baseline_inventory,,
92,archive,91,LINGVOARC,0051cce8,missing,missing,baseline_inventory,,
93,archive,92,BSA,0051d228,missing,missing,baseline_inventory,,
94,archive,93,BSN,0051da58,implemented_unverified,implemented_unverified,baseline_inventory,XBSN,FT_BSN
95,archive,94,ARQ,0051ea28,implemented_unverified,implemented_unverified,baseline_inventory,XARQ,FT_ARQ
96,archive,95,CPZ,0051f168,missing,missing,baseline_inventory,,
97,archive,96,CORK,0051f918,missing,missing,baseline_inventory,,
98,archive,97,NSK,0051fea8,missing,missing,baseline_inventory,,
99,archive,98,ABP,00520378,missing,missing,baseline_inventory,,
100,archive,99,FreezeReeve,005208c8,missing,missing,baseline_inventory,,
101,archive,100,SBX,005210a8,missing,missing,baseline_inventory,,
102,archive,101,FPAK,00521658,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_FPAK
103,archive,102,DZ,005224b8,missing,missing,baseline_inventory,,
104,archive,103,PMA,00522c68,partial,partial,baseline_inventory,XLHA,FT_LHA
105,archive,104,PMA SFX,00522ea8,partial,verified_subset,integrated_verified_subset,XLHA;XSFX,FT_LHA;FT_LHASFX
106,archive,105,SFS,005248d8,missing,missing,baseline_inventory,,
107,archive,106,AR,00527e68,verified_subset,verified_subset,baseline_inventory,X_Ar,FT_AR
108,archive,107,ARCH,005283e8,implemented_unverified,implemented_unverified,baseline_inventory,X_Ar,FT_AR
109,archive,108,RNC,005294d8,verified_subset,verified_subset,baseline_inventory,XRncArchive;XAncient,FT_RNC;FT_RNC
110,archive,109,VFS,0052a588,missing,missing,baseline_inventory,,
111,archive,110,VFS PACKZIP,0052ac78,missing,missing,baseline_inventory,,
112,archive,111,ARTI,0052b4d8,implemented_unverified,implemented_unverified,baseline_inventory,XArtiPack,FT_ARTIPACK
113,archive,112,Aldus,0052ba48,implemented_unverified,implemented_unverified,baseline_inventory,XAldus,FT_ALDUS
114,archive,113,DCL,0052c6a8,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
115,archive,114,STK,0052d0f8,implemented_unverified,implemented_unverified,baseline_inventory,XStk,FT_STK
116,archive,115,SIT,0052f6e8,partial,partial,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
117,archive,116,MXS,005302b8,missing,missing,baseline_inventory,,
118,archive,117,PIT,005307a8,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
119,archive,118,AMPK,00531bf8,implemented_unverified,implemented_unverified,baseline_inventory,XAMPK,FT_AMPK
120,archive,119,SQUISH,00532428,missing,missing,baseline_inventory,,
121,archive,120,PHILIPP,00532868,missing,missing,baseline_inventory,,
122,archive,121,MARC,00532f48,missing,missing,baseline_inventory,,
123,archive,122,SPL,005337c8,missing,missing,baseline_inventory,,
124,archive,123,ESP,00534668,missing,missing,baseline_inventory,,
125,archive,124,ASD,00535bc8,missing,missing,baseline_inventory,,
126,archive,125,DWC,00536938,missing,missing,baseline_inventory,,
127,archive,126,AR7,005371c8,missing,missing,baseline_inventory,,
128,archive,127,CrossePAC,00537758,missing,missing,baseline_inventory,,
129,archive,128,CRU,005387a8,missing,missing,baseline_inventory,,
130,archive,129,AppleSingle,00539038,implemented_unverified,implemented_unverified,baseline_inventory,XAppleSingle,FT_APPLESINGLE
131,archive,130,DaVinci,005397b8,missing,missing,baseline_inventory,,
132,archive,131,QIP1,00539bb8,missing,missing,baseline_inventory,,
133,archive,132,QIP2,0053a038,missing,missing,baseline_inventory,,
134,archive,133,TeleDisk,0053b068,missing,missing,baseline_inventory,,
135,archive,134,IMD,0053bad8,partial,partial,baseline_inventory,XLibDskArchive,FT_LIBDSK_IMAGE
136,archive,135,TERSE,0053c738,missing,missing,baseline_inventory,,
137,archive,136,IBMPACK1,0053d3b8,partial,partial,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
138,archive,137,IBMPACK2,0053d4f8,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
139,archive,138,IBMPACK3,0053d638,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
140,archive,139,SaveDskF,0053e0a8,implemented_unverified,implemented_unverified,baseline_inventory,XDearkArchive,FT_DEARK_LEGACY_ARCHIVE
141,archive,140,PUT,0053e668,missing,missing,baseline_inventory,,
142,archive,141,Raw LZW15V,0053e8a8,missing,missing,baseline_inventory,,
143,archive,142,IGF1,0053ecd8,missing,missing,baseline_inventory,,
144,archive,143,IGF2,0053ee20,missing,missing,baseline_inventory,,
145,archive,144,GLU,0053f7a8,missing,missing,baseline_inventory,,
146,archive,145,CPX,00540118,missing,missing,baseline_inventory,,
147,archive,146,CPX4,00540250,missing,missing,baseline_inventory,,
148,archive,147,LymeSFX,00540ee8,missing,missing,baseline_inventory,,
149,archive,148,UIF,0049c690,missing,missing,baseline_inventory,,
150,archive,149,ZLib,0043aaa8,implemented_unverified,implemented_unverified,baseline_inventory,XZlib,FT_ZLIB
151,archive,150,CMP,005417d8,missing,missing,baseline_inventory,,
152,archive,151,KA,00541d38,implemented_unverified,implemented_unverified,baseline_inventory,XLegacyStoreArchive,FT_KA_ARCHIVE
153,archive,152,RID,005421d8,missing,missing,baseline_inventory,,
154,archive,153,ZAP,00542918,missing,missing,baseline_inventory,,
155,archive,154,SWX,00542e18,missing,missing,baseline_inventory,,
156,archive,155,CNF,00543758,missing,missing,baseline_inventory,,
157,archive,156,TPS,00543c78,missing,missing,baseline_inventory,,
